Medal,Number_of_Medals,region,Year,Sport
Bronze,2,Germany,1980,Speed Skating
Silver,3,Cuba,1976,Boxing
Silver,1,South Korea,1984,Boxing
Gold,3,USA,1948,Equestrianism
Gold,5,Germany,1912,Rowing
Gold,6,Russia,1988,Weightlifting
Bronze,1,Czech Republic,1952,Wrestling
Silver,2,Russia,1964,Athletics
Silver,5,France,2010,Biathlon
Bronze,1,Russia,2008,Boxing
Bronze,1,Italy,1968,Boxing
Silver,2,Russia,1992,Figure Skating
Gold,3,Germany,1992,Luge
Gold,18,Italy,1906,Rowing
Silver,8,Australia,2016,Rowing
Gold,2,Canada,2010,Freestyle Skiing
Bronze,7,Germany,1976,Canoeing
Bronze,1,Sweden,1936,Art Competitions
Gold,3,New Zealand,2016,Rowing
Silver,5,UK,2004,Equestrianism
Silver,9,Belgium,1900,Rowing
Silver,1,France,1932,Fencing
Silver,10,UK,1988,Athletics
Bronze,11,Italy,1960,Fencing
Gold,1,Ukraine,1994,Figure Skating
Gold,7,Cuba,1992,Boxing
Gold,4,Spain,1996,Sailing
Silver,2,Canada,1984,Sailing
Gold,7,Germany,1988,Fencing
Silver,7,USA,1904,Water Polo
Silver,12,Sweden,1912,Shooting
Bronze,27,France,1920,Gymnastics
Bronze,1,Canada,1984,Judo
Silver,10,Germany,1976,Rowing
Gold,15,Hungary,1952,Football
Bronze,1,Sweden,1972,Athletics
Bronze,2,Germany,1952,Alpine Skiing
Silver,6,Sweden,1924,Athletics
Bronze,5,Russia,1960,Wrestling
Silver,13,India,1960,Hockey
Bronze,11,Romania,1980,Rowing
Gold,16,Mexico,2012,Football
Bronze,2,Italy,1976,Shooting
Bronze,7,Italy,1984,Fencing
Silver,5,Switzerland,2002,Curling
Gold,1,Ethiopia,1960,Athletics
Bronze,1,USA,1988,Speed Skating
Bronze,8,Czech Republic,1952,Gymnastics
Gold,1,Netherlands,1996,Cycling
Bronze,5,Bahamas,2016,Athletics
Bronze,6,Belgium,1948,Fencing
Silver,2,UK,1900,Polo
Silver,1,Slovenia,1996,Athletics
Silver,2,Australia,2000,Sailing
Silver,7,Jamaica,1988,Athletics
Silver,4,France,2016,Fencing
Bronze,12,Germany,1936,Fencing
Bronze,8,Australia,1996,Cycling
Gold,1,Armenia,2016,Wrestling
Bronze,1,Colombia,2012,Judo
Gold,3,USA,1996,Wrestling
Bronze,3,Indonesia,1996,Badminton
Bronze,1,South Africa,1948,Boxing
Silver,22,Germany,1936,Hockey
Silver,4,Switzerland,1976,Bobsleigh
Bronze,14,Russia,1968,Swimming
Silver,8,Germany,1932,Water Polo
Silver,14,UK,1912,Rowing
Gold,1,Germany,1960,Alpine Skiing
Bronze,1,Belgium,1920,Swimming
Bronze,9,Belgium,1912,Water Polo
Bronze,2,Kenya,1972,Athletics
Bronze,4,Germany,1968,Luge
Gold,3,USA,2014,Freestyle Skiing
Gold,9,Canada,1924,Ice Hockey
Bronze,4,USA,2002,Speed Skating
Silver,14,Norway,1988,Handball
Gold,3,Italy,1984,Athletics
Gold,16,Germany,2004,Hockey
Silver,5,Cuba,1992,Fencing
Bronze,1,Poland,2000,Gymnastics
Silver,7,Belgium,1908,Water Polo
Silver,2,Spain,1996,Tennis
Bronze,6,Romania,2008,Gymnastics
Silver,3,Czech Republic,1976,Modern Pentathlon
Silver,2,Sweden,1912,Wrestling
Gold,6,Turkey,1948,Wrestling
Silver,12,UK,1908,Lacrosse
Bronze,1,Russia,1980,Luge
Bronze,2,Switzerland,1956,Bobsleigh
Silver,11,Germany,1936,Water Polo
Silver,13,USA,1952,Athletics
Gold,13,Croatia,2012,Water Polo
Bronze,15,UK,1984,Hockey
Bronze,22,Germany,1988,Athletics
Silver,1,Morocco,2004,Athletics
Gold,5,Germany,1992,Speed Skating
Gold,15,Australia,2000,Swimming
Gold,15,USA,2000,Softball
Gold,4,Canada,1964,Bobsleigh
Gold,11,Russia,1964,Fencing
Silver,6,Australia,1948,Athletics
Gold,4,Russia,2004,Fencing
Silver,9,Serbia,1952,Water Polo
Silver,4,Italy,1960,Rowing
Bronze,1,Denmark,1906,Wrestling
Bronze,12,Canada,2016,Rugby Sevens
Silver,5,USA,1988,Equestrianism
Bronze,4,Germany,1976,Bobsleigh
Silver,5,Germany,2014,Biathlon
Gold,2,Germany,1968,Luge
Bronze,15,Ukraine,2004,Handball
Bronze,1,UK,2012,Judo
Silver,2,Czech Republic,1980,Athletics
Gold,2,Germany,1908,Figure Skating
Silver,3,China,2008,Badminton
Bronze,2,Brazil,2004,Judo
Bronze,1,Venezuela,2004,Taekwondo
Silver,3,Sweden,1952,Sailing
Silver,14,USA,1932,Ice Hockey
Bronze,1,USA,2014,Skeleton
Silver,1,Germany,2004,Cycling
Gold,14,UK,1920,Hockey
Silver,1,Iran,2012,Taekwondo
Silver,7,Finland,1912,Sailing
Bronze,12,Jamaica,1996,Athletics
Gold,15,Russia,2016,Handball
Bronze,11,Canada,1932,Rowing
Bronze,2,Romania,1992,Gymnastics
Bronze,1,Thailand,2004,Taekwondo
Silver,4,Norway,1952,Cross Country Skiing
Silver,2,New Zealand,2012,Sailing
Bronze,1,USA,1984,Weightlifting
Silver,4,Russia,1998,Biathlon
Silver,13,France,1900,Football
Silver,9,UK,1900,Cricket
Silver,4,Japan,2008,Athletics
Gold,2,Argentina,1928,Boxing
Gold,2,USA,2002,Bobsleigh
Silver,2,Brazil,2016,Beach Volleyball
Bronze,2,Russia,1980,Cycling
Bronze,1,Pakistan,1960,Wrestling
Silver,14,Germany,1960,Athletics
Bronze,3,Italy,1996,Archery
Gold,13,Germany,1996,Canoeing
Gold,5,Australia,1912,Swimming
Gold,3,Switzerland,1928,Rowing
Gold,1,UK,2008,Canoeing
Gold,4,Germany,1904,Swimming
Gold,2,USA,1948,Wrestling
Bronze,3,Mexico,1948,Equestrianism
Bronze,3,Canada,2012,Cycling
Gold,15,Germany,1936,Rowing
Gold,48,USA,2016,Swimming
Silver,1,Iran,1972,Wrestling
Silver,1,France,1992,Freestyle Skiing
Silver,2,USA,1952,Diving
Bronze,2,Russia,2016,Canoeing
Bronze,11,Italy,1952,Water Polo
Bronze,16,Pakistan,1976,Hockey
Bronze,16,UK,1992,Hockey
Silver,12,Spain,2012,Water Polo
Silver,2,Switzerland,2016,Tennis
Silver,10,USA,1956,Athletics
Bronze,1,Hungary,1968,Weightlifting
Bronze,2,Ireland,2008,Boxing
Bronze,12,Cuba,2004,Volleyball
Gold,1,Germany,1956,Boxing
Silver,1,Morocco,1960,Athletics
Silver,3,Sweden,1932,Equestrianism
Bronze,16,Netherlands,2000,Hockey
Silver,1,Bulgaria,1992,Boxing
Gold,6,UK,2004,Athletics
Silver,16,Brazil,1984,Football
Gold,7,UK,1920,Athletics
Bronze,3,Russia,2012,Boxing
Bronze,21,USA,1904,Athletics
Gold,3,Japan,2016,Judo
Bronze,5,Canada,2006,Curling
Silver,4,Turkey,1948,Wrestling
Bronze,12,Serbia,1996,Volleyball
Bronze,1,Cuba,1996,Swimming
Gold,4,Russia,1988,Figure Skating
Gold,2,USA,2000,Beach Volleyball
Gold,1,Hungary,1948,Wrestling
Silver,11,Hungary,1972,Water Polo
Bronze,1,Trinidad,2000,Athletics
Bronze,1,Australia,1964,Judo
Gold,1,Bulgaria,1996,Boxing
Bronze,1,UK,1960,Equestrianism
Bronze,3,Romania,1972,Rowing
Gold,1,Norway,2006,Alpine Skiing
Silver,9,Canada,1996,Synchronized Swimming
Silver,3,Denmark,1948,Canoeing
Silver,4,Poland,1972,Cycling
Gold,3,Russia,2002,Figure Skating
Bronze,10,Sweden,1924,Swimming
Gold,9,Hungary,1912,Fencing
Silver,4,Germany,1936,Athletics
Bronze,2,Sweden,1912,Diving
Silver,4,Russia,1956,Shooting
Bronze,11,Australia,1984,Swimming
Silver,5,Switzerland,1960,Equestrianism
Bronze,11,Russia,1968,Athletics
Gold,2,Australia,1968,Athletics
Bronze,1,Czech Republic,2004,Modern Pentathlon
Gold,2,Argentina,2016,Sailing
Silver,7,Belarus,2000,Rhythmic Gymnastics
Silver,16,Sweden,1992,Handball
Gold,24,USA,2016,Basketball
Bronze,2,Germany,1906,Cycling
Bronze,11,UK,2016,Athletics
Bronze,2,Portugal,1996,Sailing
Gold,4,Germany,1992,Athletics
Bronze,12,USA,1992,Swimming
Bronze,9,Italy,1968,Cycling
Bronze,1,Norway,1936,Nordic Combined
Bronze,3,Poland,2014,Speed Skating
Gold,4,France,1912,Tennis
Bronze,7,Italy,1960,Gymnastics
Bronze,6,Italy,2016,Rowing
Bronze,3,Iran,2016,Wrestling
Gold,2,Ukraine,2008,Shooting
Gold,18,Russia,1968,Ice Hockey
Bronze,4,Russia,1992,Short Track Speed Skating
Gold,15,India,1932,Hockey
Gold,23,Russia,1968,Volleyball
Silver,5,Russia,1988,Gymnastics
Silver,1,Romania,1968,Wrestling
Bronze,15,Canada,1908,Rowing
Silver,5,France,2012,Cycling
Silver,7,Germany,1984,Fencing
Silver,1,Hungary,1952,Modern Pentathlon
Silver,3,Romania,1984,Athletics
Silver,1,Latvia,1936,Wrestling
Silver,2,Germany,2012,Judo
Bronze,2,USA,2008,Tennis
Silver,2,China,2016,Athletics
Silver,3,Argentina,1960,Sailing
Silver,1,Cuba,1972,Boxing
Bronze,16,Norway,1996,Football
Bronze,12,Brazil,1960,Basketball
Bronze,15,Russia,1988,Handball
Silver,4,Japan,2012,Fencing
Gold,2,Germany,1936,Figure Skating
Silver,11,UK,1976,Rowing
Bronze,8,USA,1956,Athletics
Bronze,4,South Korea,1984,Wrestling
Silver,2,Czech Republic,2006,Cross Country Skiing
Silver,1,Czech Republic,1988,Shooting
Bronze,2,South Africa,1956,Boxing
Silver,2,Cuba,2012,Judo
Bronze,4,Netherlands,1964,Swimming
Bronze,6,Austria,2002,Nordic Combined
Gold,1,Ethiopia,1964,Athletics
Silver,14,USA,1908,Athletics
Silver,8,Russia,1976,Swimming
Silver,1,Serbia,2016,Taekwondo
Silver,1,Thailand,2008,Boxing
Silver,5,Italy,1988,Fencing
Silver,9,Germany,1992,Swimming
Bronze,1,Denmark,1948,Athletics
Silver,4,Russia,1992,Weightlifting
Bronze,22,Finland,1994,Ice Hockey
Gold,3,Sweden,1984,Canoeing
Gold,7,Norway,2002,Biathlon
Silver,4,Germany,1906,Swimming
Silver,7,Canada,1908,Shooting
Bronze,11,USA,2012,Swimming
Silver,3,Ethiopia,2004,Athletics
Silver,2,Kazakhstan,1996,Shooting
Bronze,1,Morocco,2008,Athletics
Bronze,5,Poland,1928,Rowing
Silver,6,Canada,1992,Short Track Speed Skating
Silver,2,Germany,1964,Equestrianism
Bronze,4,Belgium,1920,Equestrianism
Bronze,3,Australia,1992,Sailing
Silver,2,Italy,2016,Diving
Gold,2,Italy,1992,Cycling
Gold,1,France,2004,Cycling
Bronze,6,Japan,1964,Gymnastics
Gold,1,USA,1920,Wrestling
Bronze,3,UK,1968,Sailing
Bronze,1,Turkey,2004,Athletics
Silver,2,UK,2012,Cycling
Gold,12,Russia,1992,Basketball
Silver,2,Norway,2000,Rowing
Silver,16,Australia,1992,Hockey
Bronze,1,Finland,1984,Shooting
Silver,4,Russia,2004,Shooting
Silver,5,Australia,2016,Cycling
Silver,32,Netherlands,2004,Hockey
Bronze,10,Bulgaria,1980,Volleyball
Gold,5,Hungary,1988,Fencing
Gold,1,Switzerland,2008,Cycling
Gold,4,Ethiopia,2000,Athletics
Silver,2,France,2016,Judo
Bronze,8,Canada,2016,Athletics
Bronze,9,Russia,1996,Rowing
Silver,5,Russia,1988,Fencing
Bronze,4,Ukraine,2004,Canoeing
Bronze,8,USA,1920,Athletics
Gold,5,UK,1924,Rowing
Bronze,6,Russia,1996,Rhythmic Gymnastics
Bronze,7,USA,1976,Swimming
Gold,5,France,2004,Equestrianism
Gold,1,South Africa,1952,Athletics
Bronze,17,Germany,1972,Football
Bronze,6,Australia,1968,Swimming
Gold,1,Argentina,1936,Boxing
Bronze,1,Spain,2008,Fencing
Gold,2,USA,1900,Golf
Gold,5,Sweden,1948,Athletics
Bronze,2,Turkey,1956,Wrestling
Silver,10,USA,2016,Athletics
Gold,1,Russia,2000,Shooting
Silver,12,Belgium,1924,Fencing
Bronze,12,USA,2004,Basketball
Gold,10,Russia,2000,Synchronized Swimming
Gold,8,Russia,2000,Fencing
Silver,13,Switzerland,1936,Gymnastics
Silver,5,Russia,1968,Wrestling
Bronze,15,Serbia,1988,Handball
Bronze,6,Italy,1924,Fencing
Silver,2,Germany,1964,Figure Skating
Silver,2,France,2000,Judo
Gold,1,USA,1952,Shooting
Silver,7,Sweden,1956,Gymnastics
Gold,9,Russia,2008,Athletics
Gold,10,Germany,1992,Fencing
Gold,1,Norway,1994,Ski Jumping
Bronze,6,USA,1960,Athletics
Bronze,12,USA,1992,Basketball
Silver,3,Greece,1896,Tennis
Silver,3,Austria,1924,Weightlifting
Gold,1,Nigeria,1996,Athletics
Silver,4,Bulgaria,1964,Wrestling
Silver,6,UK,1920,Cycling
Bronze,5,Germany,1984,Biathlon
Gold,5,Germany,2006,Speed Skating
Bronze,1,USA,1936,Rowing
Bronze,4,USA,1996,Sailing
Bronze,1,Lebanon,1980,Wrestling
Silver,4,Switzerland,2006,Curling
Bronze,7,Germany,1968,Athletics
Bronze,4,Austria,2014,Nordic Combined
Silver,7,France,1936,Fencing
Bronze,1,Sweden,1928,Swimming
Silver,3,UK,1908,Racquets
Silver,17,UK,1912,Shooting
Silver,1,France,1964,Swimming
Gold,2,France,1996,Canoeing
Bronze,5,Romania,1976,Rowing
Silver,3,Turkey,1964,Wrestling
Bronze,7,Germany,2008,Canoeing
Gold,12,USA,1964,Rowing
Gold,6,South Korea,1998,Short Track Speed Skating
Bronze,1,France,1928,Weightlifting
Silver,11,Serbia,1980,Water Polo
Bronze,4,Germany,1976,Biathlon
Gold,1,Italy,2004,Shooting
Silver,5,Netherlands,2008,Sailing
Silver,1,Serbia,1968,Swimming
Bronze,5,France,1908,Athletics
Silver,10,Italy,1964,Fencing
Bronze,8,USA,1904,Archery
Silver,2,Russia,1980,Archery
Bronze,1,New Zealand,2016,Canoeing
Gold,14,USA,1948,Rowing
Silver,3,Russia,2008,Wrestling
Silver,1,Armenia,2016,Wrestling
Bronze,2,Czech Republic,2004,Athletics
Silver,2,Romania,2000,Athletics
Bronze,5,Italy,1998,Cross Country Skiing
Gold,8,Canada,1920,Ice Hockey
Bronze,2,Finland,1924,Athletics
Bronze,1,Sweden,1928,Boxing
Gold,11,USA,1928,Rowing
Silver,1,Norway,1924,Ski Jumping
Bronze,2,Netherlands,1976,Swimming
Gold,4,Czech Republic,1948,Canoeing
Bronze,2,Estonia,2000,Judo
Bronze,1,Australia,2006,Freestyle Skiing
Silver,16,Nigeria,2008,Football
Bronze,2,UK,2012,Swimming
Gold,2,Australia,2000,Cycling
Gold,8,Russia,2012,Athletics
Gold,1,USA,2012,Cycling
Silver,25,Greece,1906,Rowing
Gold,12,Poland,1976,Volleyball
Bronze,3,Morocco,2000,Athletics
Silver,10,UK,1964,Athletics
Silver,7,Netherlands,2014,Speed Skating
Silver,11,USA,1920,Ice Hockey
Gold,2,USA,1936,Bobsleigh
Bronze,2,Australia,1956,Canoeing
Silver,5,Italy,1952,Cycling
Gold,9,Germany,2008,Equestrianism
Gold,1,New Zealand,2016,Canoeing
Silver,1,Russia,2004,Cycling
Bronze,11,Russia,1964,Water Polo
Gold,1,Norway,1992,Sailing
Bronze,4,Australia,1992,Canoeing
Silver,1,France,1908,Athletics
Gold,6,France,2000,Rowing
Gold,28,Russia,1976,Handball
Bronze,11,Bulgaria,1980,Rowing
Bronze,7,Russia,1976,Cross Country Skiing
Silver,1,France,2016,Canoeing
Bronze,4,Russia,1992,Gymnastics
Silver,1,Cuba,2004,Judo
Bronze,10,Norway,1912,Rowing
Gold,20,Russia,1972,Ice Hockey
Bronze,2,Germany,2002,Speed Skating
Bronze,2,Trinidad,1996,Athletics
Gold,1,Germany,1932,Wrestling
Bronze,6,Greece,2000,Rhythmic Gymnastics
Silver,1,Niger,2016,Taekwondo
Gold,1,Austria,2004,Triathlon
Silver,2,UK,1968,Equestrianism
Bronze,6,France,1996,Rowing
Gold,5,Russia,1964,Speed Skating
Gold,12,Italy,1960,Cycling
Gold,2,Sweden,1980,Swimming
Silver,17,Netherlands,2012,Hockey
Silver,4,China,2008,Fencing
Gold,1,Italy,2016,Judo
Gold,9,Sweden,1952,Gymnastics
Gold,24,Cuba,2004,Baseball
Silver,3,Italy,2004,Canoeing
Bronze,7,USA,1968,Athletics
Bronze,1,Togo,2008,Canoeing
Silver,2,Czech Republic,1952,Canoeing
Bronze,22,UK,1908,Hockey
Silver,3,Italy,2016,Shooting
Silver,6,USA,2010,Nordic Combined
Bronze,13,South Africa,2016,Rugby Sevens
Bronze,4,Germany,2004,Equestrianism
Bronze,4,France,1952,Cycling
Bronze,5,Czech Republic,2010,Cross Country Skiing
Silver,1,Canada,1948,Canoeing
Silver,4,Kenya,1996,Athletics
Gold,9,Hungary,1956,Gymnastics
Gold,1,Brazil,2016,Athletics
Gold,16,Netherlands,2000,Hockey
Silver,1,Russia,2000,Judo
Silver,2,Romania,2012,Judo
Bronze,2,Norway,1992,Alpine Skiing
Silver,11,Russia,1972,Gymnastics
Gold,17,Germany,1976,Swimming
Silver,2,France,1964,Fencing
Bronze,5,Cuba,2004,Judo
Bronze,4,Slovakia,2004,Canoeing
Silver,3,Sweden,1920,Athletics
Bronze,6,France,2012,Swimming
Gold,2,Germany,1912,Swimming
Bronze,4,New Zealand,1988,Equestrianism
Silver,4,Norway,1992,Rowing
Gold,18,Russia,1988,Football
Bronze,9,USA,1904,Rowing
Gold,1,Nepal,1924,Alpinism
Silver,2,France,1896,Fencing
Silver,1,China,2012,Modern Pentathlon
Gold,2,Norway,2002,Alpine Skiing
Bronze,1,France,1996,Shooting
Bronze,1,Norway,1900,Athletics
Gold,19,USA,2012,Athletics
Bronze,1,New Zealand,1968,Shooting
Bronze,4,UK,1972,Cycling
Bronze,14,Romania,1980,Handball
Bronze,1,Canada,1956,Shooting
Bronze,5,Hungary,1908,Athletics
Gold,1,USA,1988,Figure Skating
Silver,7,Netherlands,1928,Cycling
Bronze,9,Germany,1960,Swimming
Silver,2,Norway,1948,Speed Skating
Silver,1,France,1964,Figure Skating
Silver,2,Brazil,2000,Judo
Silver,2,Russia,1980,Diving
Bronze,1,Spain,1932,Sailing
Silver,3,USA,1956,Modern Pentathlon
Bronze,8,Australia,1960,Swimming
Gold,4,France,1900,Croquet
Bronze,1,Iraq,1960,Weightlifting
Bronze,1,Poland,1992,Boxing
Gold,1,Germany,1932,Art Competitions
Silver,12,France,2000,Basketball
Bronze,9,Sweden,1912,Shooting
Gold,14,USA,1920,Swimming
Silver,15,USA,1968,Swimming
Silver,6,China,2008,Rhythmic Gymnastics
Bronze,1,Puerto Rico,1992,Boxing
Gold,13,Pakistan,1968,Hockey
Bronze,1,South Korea,2006,Short Track Speed Skating
Silver,12,Romania,1984,Rowing
Gold,3,UK,1908,Racquets
Gold,7,Turkey,1960,Wrestling
Bronze,1,Canada,1952,Speed Skating
Gold,12,USA,1968,Basketball
Bronze,8,USA,1964,Sailing
Silver,5,USA,1928,Rowing
Bronze,2,Italy,1936,Athletics
Bronze,2,Italy,1972,Wrestling
Bronze,4,Italy,1928,Rowing
Silver,1,Netherlands,2004,Judo
Bronze,2,France,2010,Snowboarding
Bronze,24,Czech Republic,2006,Ice Hockey
Bronze,2,China,2016,Diving
Bronze,13,UK,1952,Hockey
Silver,2,Netherlands,1996,Rowing
Gold,10,Netherlands,1928,Gymnastics
Silver,1,Norway,1984,Athletics
Silver,3,Greece,1896,Swimming
Silver,4,UK,2014,Curling
Bronze,2,Italy,1964,Luge
Silver,6,Bahamas,2008,Athletics
Silver,1,Greece,1996,Athletics
Gold,22,Russia,1992,Ice Hockey
Silver,1,Hungary,1912,Fencing
Bronze,3,Hungary,1972,Weightlifting
Bronze,3,Greece,1980,Sailing
Silver,18,France,1920,Archery
Silver,1,Spain,2016,Taekwondo
Gold,11,USA,1924,Rowing
Silver,1,France,1972,Shooting
Gold,15,Norway,1912,Sailing
Gold,12,Spain,1996,Water Polo
Silver,13,France,1928,Fencing
Silver,7,UK,1956,Athletics
Silver,13,Russia,1960,Gymnastics
Silver,21,Canada,1994,Ice Hockey
Gold,4,USA,1960,Rowing
Gold,14,Italy,1936,Football
Gold,9,Romania,2004,Gymnastics
Silver,11,Russia,1968,Water Polo
Bronze,6,Canada,1984,Canoeing
Silver,1,Russia,1996,Rhythmic Gymnastics
Silver,2,USA,2000,Rowing
Bronze,8,USA,1964,Swimming
Gold,2,Romania,1972,Wrestling
Silver,10,Germany,1984,Swimming
Bronze,6,Poland,2000,Canoeing
Silver,2,Germany,2000,Fencing
Gold,3,Russia,1956,Shooting
Silver,5,Netherlands,2000,Equestrianism
Bronze,4,Australia,1994,Short Track Speed Skating
Gold,2,Ukraine,1996,Sailing
Bronze,11,Germany,1956,Hockey
Silver,3,Ukraine,2000,Archery
Silver,3,Poland,1960,Boxing
Gold,3,Russia,1972,Weightlifting
Bronze,19,Switzerland,2014,Ice Hockey
Gold,12,Denmark,1906,Football
Bronze,3,Bulgaria,1976,Wrestling
Bronze,3,Netherlands,1968,Speed Skating
Silver,6,Russia,1988,Athletics
Gold,14,USA,1924,Shooting
Gold,1,Romania,1960,Athletics
Silver,3,France,1920,Rowing
Silver,8,USA,1996,Rowing
Silver,17,Poland,1976,Football
Gold,3,USA,1998,Freestyle Skiing
Silver,1,Cameroon,1968,Boxing
Gold,17,Germany,2008,Hockey
Bronze,15,Romania,1972,Handball
Gold,1,Bulgaria,1988,Swimming
Gold,6,Germany,1976,Cycling
Bronze,2,UK,2008,Cycling
Bronze,11,Germany,2000,Swimming
Gold,1,Spain,2004,Canoeing
Bronze,2,USA,1984,Shooting
Silver,4,UK,2016,Cycling
Bronze,12,Spain,2016,Basketball
Gold,6,France,1948,Cycling
Gold,14,Uruguay,1924,Football
Gold,4,Norway,1928,Sailing
Gold,5,France,1900,Fencing
Gold,1,Germany,1976,Boxing
Silver,15,Hungary,2000,Handball
Bronze,1,Argentina,2004,Swimming
Silver,6,Australia,2016,Sailing
Bronze,3,Germany,2004,Judo
Silver,2,Australia,1972,Athletics
Silver,3,Germany,1952,Equestrianism
Bronze,2,Italy,2000,Rowing
Bronze,5,Spain,2004,Cycling
Bronze,9,Italy,1924,Rowing
Gold,9,USA,1936,Rowing
Gold,16,Nigeria,1996,Football
Silver,4,Poland,2008,Fencing
Bronze,2,Germany,1998,Biathlon
Gold,8,Italy,1952,Fencing
Bronze,1,Sweden,1972,Weightlifting
Bronze,1,USA,1956,Wrestling
Bronze,9,Netherlands,1900,Rowing
Bronze,11,France,1984,Fencing
Gold,8,UK,1920,Tug-Of-War
Gold,15,France,2008,Handball
Silver,5,Nigeria,1992,Athletics
Silver,12,USA,2008,Volleyball
Bronze,8,Sweden,1948,Athletics
Bronze,10,Russia,2000,Gymnastics
Bronze,1,Tunisia,2016,Wrestling
Bronze,9,France,1920,Fencing
Silver,17,USA,1956,Ice Hockey
Gold,6,Italy,1968,Bobsleigh
Silver,15,Germany,2004,Handball
Gold,1,Australia,2010,Snowboarding
Gold,5,UK,1984,Rowing
Bronze,6,Bulgaria,1988,Canoeing
Gold,9,USA,1896,Athletics
Silver,4,Italy,1920,Equestrianism
Gold,1,New Zealand,2012,Canoeing
Gold,5,France,1956,Cycling
Gold,13,Germany,2012,Rowing
Silver,15,China,1996,Softball
Gold,4,USA,1956,Weightlifting
Silver,1,Romania,1992,Athletics
Bronze,12,Australia,2012,Basketball
Bronze,10,USA,1948,Athletics
Bronze,5,UK,2008,Athletics
Bronze,12,Uruguay,1956,Basketball
Bronze,19,Germany,1928,Hockey
Gold,1,Italy,1952,Boxing
Silver,3,Italy,1960,Boxing
Bronze,4,UK,1936,Bobsleigh
Gold,1,Romania,1996,Fencing
Bronze,2,Uzbekistan,2016,Boxing
Bronze,6,Bulgaria,1980,Canoeing
Silver,2,Switzerland,2002,Bobsleigh
Silver,11,USA,1928,Athletics
Bronze,1,Poland,1948,Boxing
Bronze,5,France,2004,Athletics
Gold,9,Russia,1972,Athletics
Bronze,17,Germany,2004,Football
Bronze,7,France,1984,Canoeing
Bronze,12,Serbia,1980,Basketball
Gold,16,India,1980,Hockey
Gold,5,Russia,1976,Biathlon
Gold,3,Russia,1956,Canoeing
Bronze,12,Lithuania,1992,Basketball
Silver,1,UK,1900,Sailing
Bronze,2,Russia,1984,Bobsleigh
Gold,45,USA,1964,Swimming
Gold,4,Switzerland,1956,Bobsleigh
Bronze,4,Norway,1998,Biathlon
Gold,16,Australia,1996,Hockey
Bronze,13,Italy,1996,Water Polo
Silver,3,USA,2002,Freestyle Skiing
Gold,3,Denmark,1980,Sailing
Silver,2,USA,1948,Speed Skating
Silver,1,Germany,1952,Boxing
Silver,6,Germany,1976,Fencing
Gold,2,Netherlands,1924,Rowing
Gold,34,USA,1960,Swimming
Silver,2,Switzerland,1988,Rowing
Bronze,2,Morocco,1996,Athletics
Silver,1,Canada,2002,Freestyle Skiing
Silver,3,Germany,2012,Equestrianism
Gold,16,USA,2008,Athletics
Gold,2,France,1932,Figure Skating
Silver,12,UK,2016,Swimming
Bronze,16,Australia,1996,Hockey
Bronze,24,Finland,2014,Ice Hockey
Silver,18,Brazil,2008,Football
